subjID,eye,left_x,left_y,top_x,top_y,right_x,right_y,bottom_x,bottom_y,center_x,center_y,radius_hor_deg,radius_ver_deg,dist_from_fixation_deg,dist_from_hor_meridian_deg,dist_from_ver_meridian_deg,width_in_deg,height_in_deg,source_file
SV029,L,759.25917437552,1280.84135545743,921.75917437552,1060.84135545743,1084.25917437552,1280.84135545743,921.75917437552,1500.84135545743,921.75917437552,1280.84135545743,2.55,3.46,15.99,15.68,3.15,5.1,6.91,SV029_na_BS.mat
SV029,R,2769.49082562448,1224.17468879076,2921.36582562448,1019.17468879076,3073.24082562448,1224.17468879076,2921.36582562448,1429.17468879076,2921.36582562448,1224.17468879076,2.39,3.22,15.89,15.73,2.26,4.77,6.44,SV029_na_BS.mat
SV030,L,767.380952380952,1155.77955665025,980.674347158218,901.214285714286,1193.96774193548,1155.77955665025,980.674347158218,1410.34482758621,980.674347158218,1155.77955665025,3.35,4,14.8,14.75,1.19,6.7,8,SV030_without_BS.mat
SV030,R,2708.89189189189,1114.84523809524,2925.41963015647,871.261904761905,3141.94736842105,1114.84523809524,2925.41963015647,1358.42857142857,2925.41963015647,1114.84523809524,3.4,3.83,15.8,15.79,0.55,6.8,7.65,SV030_without_BS.mat
SV031,L,746,1240.02916666667,916.285714285714,1067.29166666667,1086.57142857143,1240.02916666667,916.285714285714,1412.76666666667,916.285714285714,1240.02916666667,2.67,2.71,15.96,15.76,2.51,5.35,5.43,SV031_without_BS.mat
SV031,R,2753.95454545455,1200.16228893058,2990.85727272727,984.170731707317,3227.76,1200.16228893058,2990.85727272727,1416.15384615385,2990.85727272727,1200.16228893058,3.72,3.39,16.92,16.82,1.89,7.44,6.78,SV031_without_BS.mat
SV032,L,851.555555555556,1184.54406130268,969.33547008547,1070.77777777778,1087.11538461538,1184.54406130268,969.33547008547,1298.31034482759,969.33547008547,1184.54406130268,1.85,1.79,15.02,14.93,1.64,3.7,3.57,SV032_with_BS.mat
SV032,R,2759.82352941176,1210.75974025974,2845.21945701357,1115.09090909091,2930.61538461538,1210.75974025974,2845.21945701357,1306.42857142857,2845.21945701357,1210.75974025974,1.34,1.5,14.68,14.53,2.05,2.68,3.01,SV032_with_BS.mat
SV033,L,593,1135.60172413793,776.32,942.103448275862,959.64,1135.60172413793,776.32,1329.1,776.32,1135.60172413793,2.88,3.04,17.98,17.96,0.87,5.76,6.08,SV033_with_BS.mat
SV033,R,2707.625,1190.14827586207,2917.5162037037,1027.4,3127.40740740741,1190.14827586207,2917.5162037037,1352.89655172414,2917.5162037037,1190.14827586207,3.3,2.56,15.76,15.67,1.73,6.59,5.11,SV033_with_BS.mat
