subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,response_type,loc_1,loc_2,loc_3,loc_4,loc_5
SV009,L,413,3,3,1,0,3,2,0,0,0,0,0
SV009,L,414,2,3,0,1,3,2,0,0,0,0,0
SV009,L,415,3,3,0,1,3,2,0,0,0,0,0
SV009,L,416,3,2,1,0,2,2,0,0,0,0,0
SV009,L,417,2,0,0,1,0,2,0,0,0,0,0
SV009,L,418,2,0,1,1,0,2,0,0,0,0,0
SV009,L,419,3,2,1,1,2,2,0,0,0,0,0
SV009,L,420,2,3,0,1,3,2,0,0,0,0,0
SV009,L,421,3,2,0,0,2,2,0,0,0,0,0
SV009,L,422,3,2,1,1,2,2,0,0,0,0,0
SV009,L,423,2,0,1,1,0,2,0,0,0,0,0
SV009,L,424,2,2,0,0,2,2,0,0,0,0,0
SV009,L,425,2,3,1,1,3,2,0,0,0,0,0
SV009,L,426,2,2,1,0,2,2,0,0,0,0,0
SV009,L,427,2,0,1,1,0,2,0,0,0,0,0
SV009,L,428,3,2,0,1,2,2,0,0,0,0,0
SV009,L,429,2,3,1,1,3,2,0,0,0,0,0
SV009,L,430,3,0,1,0,0,2,0,0,0,0,0
SV009,L,431,2,2,1,1,2,2,0,0,0,0,0
SV009,L,432,3,0,0,0,0,2,0,0,0,0,0
SV009,L,433,2,0,0,0,0,2,0,0,0,0,0
SV009,L,434,3,0,1,0,0,2,0,0,0,0,0
SV009,L,435,3,3,0,0,3,2,0,0,0,0,0
SV009,L,436,3,0,0,0,0,2,0,0,0,0,0
SV009,L,437,3,0,1,0,0,2,0,0,0,0,0
SV009,L,438,3,3,0,0,3,2,0,0,0,0,0
SV009,L,439,3,3,1,0,3,2,0,0,0,0,0
SV009,L,440,3,0,1,1,0,2,0,0,0,0,0
SV009,L,441,2,0,1,0,0,2,0,0,0,0,0
SV009,L,442,2,3,0,1,3,2,0,0,0,0,0
SV009,L,443,3,0,1,0,0,2,0,0,0,0,0
SV009,L,444,3,0,0,1,0,2,0,0,0,0,0
SV009,L,445,3,2,1,1,2,2,0,0,0,0,0
SV009,L,446,2,0,1,1,0,2,0,0,0,0,0
SV009,L,447,2,0,0,0,0,2,0,0,0,0,0
SV009,L,448,2,0,1,0,0,2,0,0,0,0,0
SV009,L,449,3,2,0,1,2,2,0,0,0,0,0
SV009,L,450,3,2,1,1,2,2,0,0,0,0,0
SV009,L,451,3,3,1,0,3,2,0,0,0,0,0
SV009,L,452,3,0,1,0,0,2,0,0,0,0,0
SV009,L,453,2,2,0,0,2,2,0,0,0,0,0
SV009,L,454,3,0,0,1,0,2,0,0,0,0,0
SV009,L,455,2,2,1,0,2,2,0,0,0,0,0
SV009,L,456,2,3,0,0,3,2,0,0,0,0,0
SV009,L,457,3,2,0,1,2,2,0,0,0,0,0
SV009,L,458,2,3,0,1,3,2,0,0,0,0,0
SV009,L,459,2,0,0,0,0,2,0,0,0,0,0
SV009,L,460,3,3,1,1,3,2,0,0,0,0,0
